CAT_Level_1,CAT_Level_2,CWD,Language
CAT-0012 架构度量,,CWD-1832 复杂类-Blob Class,"CPP,JAVA"
CAT-0012 架构度量,,CWD-1833 复杂文件-Blob File,"C,CPP"
CAT-0012 架构度量,,CWD-1834 精神分裂类-Schizophrenic Class,"CPP,JAVA"
CAT-0012 架构度量,,CWD-1835 精神分裂文件-Schizophrenic File,"C,CPP"
CAT-0012 架构度量,,CWD-1838 霰弹式修改-Shotgun Surgery,"C,CPP,JAVA"
CAT-0012 架构度量,,CWD-1839 依恋情节-Feature Envy,"C,CPP,JAVA"
CAT-0012 架构度量,,CWD-1841 数据泥团-Data Clumps,"C,CPP,JAVA"
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1664 证书信任链的不当遵循,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1666 证书吊销检查不当,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1665 主机不匹配的证书验证不正确,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1669 关键的功能缺少身份验证,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1682 加密强度不足,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1687 随机数生成的熵不足,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1688 随机值空间小,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1691 伪随机数生成器（PRNG）中存在可预测种子,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1692 加密场景中使用伪随机数生成器（PRNG）,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1694 在基于环境动态变化的情景中使用不变值,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1717 通过用户控制的SQL主键绕过授权,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1721 URL重定向到不受信任的站点（“打开重定向”）,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1730 使用非规范URL路径进行授权决策,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1736 权限保存不当,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1764 使用有风险的密码学算法,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1781 不安全协议,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1849 没有“HttpOnly”标志的敏感Cookie,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1851 访问控制粒度不够,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1850 不使用连接池的数据资源访问,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1852 具有不当SameSite属性的敏感Cookie,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1853 权限分配不正确,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1854 证书信任链的不当遵循,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1855 证书过期验证不正确,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1856 敏感信息明文传输,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1857 符号名称未映射到正确的对象,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1858 网络消息量控制不足（网络放大）,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1859 使用包含敏感信息的Web浏览器缓存,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1860 通过目录列表公开信息,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1861 敏感查询字符串的GET请求方法的使用,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1862 HTTPS会话中没有“安全”属性的敏感Cookie,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1864 非信任域的允许跨域策略,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1865 数据存储约束不合理,SQL
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1863 服务器端请求伪造(SSRF),JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1866 数据库存储的数据格式不兼容,SQL
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1867 Nginx配置中的location优先级不正确,"C,CPP,JAVA,PYTHON"
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1868 空值未能正确处理,JAVA
CAT-0313 产品线自定义缺陷,CAT-0314 GTS产品线自定义缺陷,CWD-1848 对外开放API变更未保持向后兼容,JAVA
